shirt_no.,name,jersey_name,position,birthdate,team,club,club_country
1,Signori Dominique Nymi António,Dominique,GK,25.07.1994,Angola,Etoile Carouge,Angola
2,Nurio Domingos Matias Fortuna,Nurio,DF,24.03.1995,Angola,Gent KK,Angola
3,Buatu Mananga Jonathan,Buatu,DF,27.09.1993,Angola,Valencinnes,Angola
4,Keliano Manuel,Keliano,MF,16.01.2003,Angola,Estrela da Amadora,Angola
5,Joaquim Marcos Cunga Balanga,Kinito,DF,13.03.1998,Angola,"Atletico Petroleos de Luanda
",Angola
6,Kialonda Gaspar,Gaspar,DF,27.09.1997,Angola,Estrela da Amadora,Angola
7,Deivi Miguel Vieira,Gilberto,FW,10.03.2001,Angola,"Atlético Petróleos de Luand
",Angola
8,Benedito Mambuene Mukendi,Beni,MF,21.05.2002,Angola,Casa Pia FC,Angola
9,"Ambrósini António Cabaça
Salvador",Zini,FW,03.07.2002,Angola,AEK FC,Angola
10,Jacinto Muondo Dala,Gelson,FW,13.07.1996,Angola,Al Wakrah,Angola
11,Felicio Mendes Joao,Milson,FW,12.10.1999,Angola,Maccabi Tel Aviv,Angola
12,Aldo Geraldo Manuel Monteiro,Kadu,GK,30.11.1994,Angola,Oliveira do Hospital,Angola
13,"Corte Real Carneiro Augusto
De Jesus",To Carneiro,DF,05.11.1995,Angola,Atletico petrolios,Angola
14,Loide Antonio Augusto,Loide,DF,26.02.2000,Angola,Alanyaspor,Angola
15,Zito André Sebastiao Luvumbo,Luvumbo,FW,09.03.2002,Angola,Cagliari,Angola
16,Alfredo Kulembe Ribeiro,Fredy,MF,27.03.1990,Angola,Eyupspor,Angola
17,Bruno L. Pinto De Almeida Paz,Bruno Paz,MF,23.04.1998,Angola,Konyasport,Angola
18,Jérémie Bela,Bela,FW,08.04.1993,Angola,Clermont Foot,France
19,Cristovao Paciencia,Mabululu,FW,01.06.1992,Angola,Al Ittihad Alexandria,Angola
20,"Valdmiro Tualungo Paulo
Lameira",Estrela,MF,22.09.1995,Angola,Erzurumspor,Angola
21,Eddie Marcos Melo Afonso,Eddie,DF,07.03.1994,Angola,"atletico petroleos de luanda
",Angola
22,Adilson Da Cruz Cipriano,Neblu,GK,16.12.1993,Angola,"Clube Desportivo 1 de Agosto
",Angola
23,Manuel Luis Da Silva Cafumana,Show,MF,06.03.1999,Angola,Macabi Haifa,Angola
24,Francisco Pedro Mangala,Gelson,GK,08.07.1999,Angola,GD Interclube,Angola
25,"Inacio Miguel Ferreira Dos
Santos",Inácio,DF,12.12.1995,Angola,"atletico petroleos de luanda
",Angola
26,Laurindo Dilson Maria Aurelio,Depu,FW,08.01.2000,Angola,Gil Vicente,Angola
27,Francisco Gonçalves Sacalumbo,Banza,FW,17.12.1998,Angola,Anorthosis,Angola
1,Moustafa Zeghba,ZEGHBA,GK,21.11.1990,Algeria,Damac F.C,Arabie Saoudite
2,Aissa Mandi,MANDI,DF,22.10.1991,Algeria,VILLARREAL CF,Espagne
3,"Kevin Daniel Guiton Van
Kerkhouf",Guiton,DF,14.03.1996,Algeria,F.C.Metz,France
4,Mohamed Amine Tougai,TOUGAI,DF,22.01.2000,Algeria,Esperance ST,Tunisie
5,Ahmed Touba,Touba,DF,13.03.1998,Algeria,U.S.Lecce,Italie
6,Ramiz Larbi Zerrouki,ZERROUKI,MF,26.05.1998,Algeria,Feyenoord Rotterdam,"Pays-
Bas"
7,Riyad Karim Mahrez,Mahrez,FW,21.02.1991,Algeria,Al Ahly Jeddah,"Arabie
Saoudite"
8,Mohammed Youcef Belaili,BELAILI,FW,14.03.1992,Algeria,MCAlger,Algérie
9,Baghdad Bounedjah,Bounedjah,FW,24.11.1991,Algeria,Al Saad S.C,Qatar
10,Sofiane Feghouli,Feghouli,MF,26.12.1989,Algeria,Fatih Karagumurk,Turquie
11,Houssem Eddine Aouar,AOUAR,MF,30.06.1998,Algeria,AS.Rome,Italie
12,Adam Mohamed Ounas,Ounas,FW,11.11.1996,Algeria,LOSC LIlle,France
13,Islam Slimani,Slimani,FW,18.06.1988,Algeria,Coritiba Football Club,Brésil
14,Hicham Boudaoui,BOUDAOUI,MF,23.09.1999,Algeria,O.G.C Nice,France
15,Rayan Ait Nouri,AIT NOURI,DF,06.06.2001,Algeria,"Wolverhamton Wanderers FC
",Royaume-Uni
16,Anthony Louis Mandrea,MANDREA,GK,25.12.1996,Algeria,S.M. Caen,France
17,Fares Chaibi,CHAIBI,MF,28.11.2002,Algeria,Eintracht Frankfort,Allemagne
18,Mohammed El Amine Amoura,AMOURA,FW,09.05.2000,Algeria,Union Saint Gilloise,Belgique
19,Nabil Bentaleb,Bentaleb,MF,24.11.1994,Algeria,Losc.Lille,France
20,Youcef Atal,Atal,DF,17.05.1996,Algeria,O.G.C Nice,France
21,Amir Selmane Rami Bensebaini,Bensebaini,DF,16.04.1995,Algeria,Borussia Dortmund,Allemagne
22,Ismael Bennacer,Bennacer,MF,01.12.1997,Algeria,MILAN AC,Italie
23,Adi-Rais Cobos Mbolhi,RAIS,GK,25.04.1986,Algeria,CRBelouizdad,Algérie
24,Zineddine Belaid,Belaid,DF,20.03.1999,Algeria,USMAlger,Algérie
25,Yasser Larouci,LAROUCI,DF,01.01.2001,Algeria,Sheffield United FC,"Royaume-
Uni"
26,Oussama Benbot,Benbot,GK,11.10.1994,Algeria,USMAlger,Algérie
1,"Hillel-Yored Amilcar Tony
Konate",KONATE,GK,28.12.1994,Burkina Faso,CHATEAUROUX,France
2,Djibril Cheick Ouattara,OUATTARA D.,FW,19.09.1999,Burkina Faso,RS BERKANE,Maroc
3,Abdoul Razack Guiebre,GUIEBRE,DF,17.07.1997,Burkina Faso,MODENA FC,Italie
4,Adamo Nagalo,NAGALO,DF,22.09.2002,Burkina Faso,FC NORDJAELLAND,Danemark
5,Yacouba Nasser Djiga,DJIGA,DF,15.11.2002,Burkina Faso,"Etoile Rouge de Belgrade
",Serbie
6,Sacha Jordan Banse,BANSE,MF,16.03.2001,Burkina Faso,VALENCIENNES,France
7,"Dango Aboubacar Faissal
Ouattara",D. A. OUATTARA,FW,11.02.2002,Burkina Faso,"AFC BOURNEMOUTH
",Angleterre
8,Cedric Badolo,BADOLO,MF,04.11.1998,Burkina Faso,FC SHERIF TIRASPOL,Moldavie
9,Issa Kabore,KABORE,DF,12.05.2001,Burkina Faso,LUTON TOWN,Angleterre
10,Bertrand Isidore Traore,TRAORE Bertrand,FW,06.09.1995,Burkina Faso,ASTON VILLA,Angleterre
11,Mamady Alex Bangre,BANGRE,FW,15.06.2001,Burkina Faso,TOULOUSE FC,France
12,Edmond Fayçial Tapsoba,TAPSOBA,DF,02.02.1999,Burkina Faso,"BAYER LEVERKUSEN
",Allemagne
13,Mohamed Konate,KONATE,FW,12.12.1997,Burkina Faso,AKHMAT GROZNY,Russie
14,Issoufou Dayo,DAYO,DF,06.08.1991,Burkina Faso,RS BERKANE,Maroc
15,Abdoul Fessal Tapsoba,TAPSOBA A.,FW,23.08.2001,Burkina Faso,AMIENS FC,France
16,Kouakou Hervé Koffi,KOFFI,GK,16.10.1996,Burkina Faso,RSC CHARLEROI,Belgique
17,Stéphane Aziz Ki,KI AZIZ,MF,06.03.1996,Burkina Faso,YOUNG AFIRCANS SC,Tanzanie
18,Ismahila Ouédraogo,OUEDRAOGO I.,MF,05.11.1999,Burkina Faso,PANSERRAIKOS FC,Grèce
19,Boureima Hassane Bande,BANDE,FW,30.10.1998,Burkina Faso,HJK HELSINKI,Finlande
20,Gustavo Fabrice Sangare,SANGARE,MF,08.11.1996,Burkina Faso,"QUEVILLY ROUEN METROPOLE
",France
21,Valentin Nouma,NOUMA,DF,14.02.2000,Burkina Faso,FC Saint Eloi Lupopo,"R.D.
Congo"
22,Ibrahim Blati Toure,TOURE,MF,04.08.1994,Burkina Faso,PYRAMID FC,Égypte
23,Kilian Basba Geeke Nikiema,NIKIEMA,GK,22.06.2003,Burkina Faso,Ado Den Haag,Pays-Bas
24,Adama Guira,GUIRA,MF,24.04.1988,Burkina Faso,RACING RIOJA,Espagne
25,Steeve Farid Yago,YAGO,DF,16.12.1992,Burkina Faso,ARIS LIMASSOL,Chypre
26,Dramane Salou,SALOU,MF,22.05.1998,Burkina Faso,FC Urartu,Arménie
27,Sebastien Koula Tou,TOU,GK,01.12.2004,Burkina Faso,FC SABADELL,Espagne
1,Joseph Fabrice Ondoa Ebogo,Ondoa,GK,24.12.1995,Cameroon,Nime Olympique,France
2,Harold-Desty Moukoudi,Moukoudi,DF,27.11.1997,Cameroon,AEK Athens,Grèce
3,Moumi Ngamaleu Nicolas Brice,Moumi,FW,09.07.1994,Cameroon,Dinamo Moscou,Russie
4,Christopher Maurice Wooh,WOOH,DF,18.09.2001,Cameroon,Rennes,France
5,Tolo Nouhou,Nouhou,DF,23.06.1997,Cameroon,Seattle Sounders,USA
6,Michel Kemen Olivier,KEMEN,MF,20.07.1996,Cameroon,Kayserispor,Turquie
7,Clinton Mua Njie,Njie,FW,15.08.1993,Cameroon,Sivasspor,Turquie
8,André Frank Zambo Anguissa,ANGUISSA,MF,16.11.1995,Cameroon,SSC Napoli,Italie
9,Franck Mario Magri,MAGRI,FW,04.09.1999,Cameroon,FK Bodø/Glimt,Norvège
10,Aboubakar Vincent,Aboubakar,FW,22.01.1992,Cameroon,Besiktas JK,Turquie
11,Georges Kevin Nkoudou Mbida,Nkoudou,FW,13.02.1995,Cameroon,Damac FC,Arabie Saoudite
12,Karl Brillant Toko Ekambi,TOKO EKAMBI,FW,14.09.1992,Cameroon,ABHA,Arabie Saoudite
13,Leonel Christian Ateba Mbida,ATEBA MBIDA,FW,06.02.1999,Cameroon,Dynamo Douala,Cameroun
14,Junior Baptiste Tchamadeu,Tchamadeu,DF,22.12.2003,Cameroon,Stoke City,Angleterre
